mesocosm,depth_cm,depth_abstract,type,olivine_size,Oltreat,plant,plant_yesno,Al_ppm,Ba_ppm,Co_ppm,Cr_ppm,Fe_ppm,Mg_ppm,Mn_ppm,Ni_ppm,Sr_ppm,Zn_ppm
35,-10,middle,mesocosm,coarse,ol_yes,Wheat,plant_yes,9062.26804300971,243.812407498008,7.41027510693891,46.6810836746348,9479.24086301585,676.841185077331,173.644550562754,7.05792405476787,59.6809001708148,63.7420839560344
35,-18,bottom,mesocosm,coarse,ol_yes,Wheat,plant_yes,10463.8937538543,232.523474678643,7.4583381743513,47.9682334757152,10187.1530539314,811.596046422534,186.297102058466,6.9404781868168,60.0546596396384,54.8028248407202
36,-2,surface,mesocosm,coarse,ol_yes,Wheat,plant_yes,63519.05781622,226.698210133421,22.6156273388705,404.778119361955,19070.9696711764,59463.8772664512,426.029420310982,351.183875301069,133.398990552209,53.1846197862283
36,-10,middle,mesocosm,coarse,ol_yes,Wheat,plant_yes,11795.8660322154,230.298615657296,6.56895550271084,41.2804797282463,9480.82269437666,824.010441960382,182.423447171793,6.07137224112656,66.5710349630939,67.1397925450216
36,-18,bottom,mesocosm,coarse,ol_yes,Wheat,plant_yes,10775.7175727681,220.204255073879,7.313306560719,51.6491188746702,10929.0036078207,687.234593799834,210.166202176824,7.10107236086158,62.4754841830683,54.5536763295258
37,-2,surface,mesocosm,coarse,ol_yes,Wheat,plant_yes,33054.9868118107,235.115578249835,17.991200387343,266.968556255122,16478.2661523178,40864.2806281856,322.874161245146,238.359304366805,91.0713915828506,53.9355978379656
37,-10,middle,mesocosm,coarse,ol_yes,Wheat,plant_yes,12363.0706815589,226.721055207171,7.26192244093626,42.385655686587,10305.3465586745,996.47008553584,182.796909759787,7.80417465675385,63.7312178654107,54.1441124787748
37,-18,bottom,mesocosm,coarse,ol_yes,Wheat,plant_yes,11569.1748682689,234.783982263885,8.31685732879288,42.1770157648417,11674.2561367101,921.508887172504,223.796743478656,10.3950326290565,66.7504128727987,51.5920631462403
38,-2,surface,mesocosm,fine,ol_yes,Barley,plant_yes,35025.815173734,210.960319461521,24.7493386737656,463.889834199802,18941.6498409228,65173.0512493219,341.349643048622,398.270693736733,86.4405461344662,42.4842923138315
38,-10,middle,mesocosm,fine,ol_yes,Barley,plant_yes,30813.6394218906,253.705167136667,10.3400511125083,114.677229042574,12279.8276574177,13333.6149857512,251.75160237437,72.2902591804692,88.2645164672042,51.2513762331043
38,-18,bottom,mesocosm,fine,ol_yes,Barley,plant_yes,11873.24104246,231.546953208929,6.84007450838949,46.6523905657008,12016.8895499741,971.927732801811,173.98292961142,7.77430370191914,58.67386141484,44.908986849665
39,-2,surface,mesocosm,none,ol_no,Barley,plant_yes,11313.4009321593,225.323118749699,7.36723171047523,44.9688950130522,12018.2572870269,636.496755901287,207.107886259376,8.20386271146563,62.2643646354612,51.7798127552436
39,-10,middle,mesocosm,none,ol_no,Barley,plant_yes,9205.97358857225,225.5976899747,7.19431271696667,38.4216656663333,10567.3727848215,653.658193920726,253.556417951408,6.58230520308551,64.2845382788991,65.0868080514115
39,-18,bottom,mesocosm,none,ol_no,Barley,plant_yes,14657.3191355322,229.878042561203,6.23203241053856,42.7181887629654,8754.50228262592,361.617998575885,169.007015411438,5.26630254813416,55.4877661498243,39.6820964958669
40,-2,surface,mesocosm,coarse,ol_yes,Barley,plant_yes,42424.7097411223,203.338324608033,30.9275428569667,475.849129766333,20561.615563219,89390.0948490201,494.876816810202,539.356243393145,99.4659268531621,46.5558342772517
40,-10,middle,mesocosm,coarse,ol_yes,Barley,plant_yes,11138.5185793588,244.794203998714,7.06700309726253,40.4440873347625,8936.39816251668,717.584893269492,164.536788544479,5.58914827257717,55.7603379658651,33.9248438194719
40,-18,bottom,mesocosm,coarse,ol_yes,Barley,plant_yes,11649.6766992332,248.263187324933,7.47186815942077,41.4497989344208,10094.484810741,682.029249774096,206.456417779515,6.62823099681815,58.0345577832671,44.2882210300978
